Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
04/11/2022,"13.064,00","12.942,50","13.117,50","12.867,50","","0,56%"
04/10/2022,"12.991,00","12.777,50","13.012,50","12.745,00","","1,71%"
04/09/2022,"12.773,00","12.805,00","12.842,50","12.537,50","","-0,73%"
04/08/2022,"12.867,00","12.867,50","12.922,50","12.670,00","","0,11%"
04/07/2022,"12.853,00","12.580,00","12.882,50","12.542,50","","1,80%"
04/06/2022,"12.626,00","12.410,00","12.677,50","12.402,50","","2,45%"
04/05/2022,"12.324,00","12.207,50","12.382,50","12.137,50","","0,64%"
04/04/2022,"12.246,00","12.170,00","12.307,50","12.130,00","","1,07%"
04/03/2022,"12.116,00","12.327,50","12.337,50","12.092,50","","-1,82%"
04/02/2022,"12.341,00","12.195,00","12.412,50","12.195,00","","0,74%"
04/01/2022,"12.250,00","12.430,00","12.652,50","12.107,50","","-4,13%"
03/31/2022,"12.778,00","12.657,50","12.907,50","12.407,50","","0,88%"
03/30/2022,"12.667,00","12.432,50","12.705,00","12.382,50","","1,72%"
03/29/2022,"12.453,00","12.295,00","12.477,50","12.230,00","","1,66%"
03/28/2022,"12.250,00","11.870,00","12.267,50","11.837,50","","3,33%"
03/27/2022,"11.855,00","12.110,00","12.110,00","11.822,50","","-1,80%"
03/26/2022,"12.072,00","12.242,50","12.315,00","11.962,50","","-1,49%"
03/25/2022,"12.254,00","12.265,00","12.357,50","12.135,00","","-0,57%"
03/24/2022,"12.324,00","12.377,50","12.475,00","12.235,00","","-0,24%"
03/23/2022,"12.354,00","12.377,50","12.497,50","12.222,50","","0,19%"
03/22/2022,"12.330,00","12.332,50","12.397,50","12.167,50","","0,22%"
03/21/2022,"12.303,00","12.050,00","12.332,50","11.875,00","","2,51%"
03/20/2022,"12.002,00","11.837,50","12.047,50","11.802,50","","1,61%"
03/19/2022,"11.812,00","11.885,00","11.957,50","11.802,50","","-1,20%"
03/18/2022,"11.955,00","12.110,00","12.195,00","11.832,50","","-1,94%"
03/17/2022,"12.192,00","12.330,00","12.355,00","12.132,50","","-1,00%"
03/16/2022,"12.315,00","12.330,00","12.375,00","12.185,00","","0,17%"
03/15/2022,"12.294,00","12.257,50","12.440,00","12.092,50","","0,41%"
03/14/2022,"12.244,00","12.257,50","12.592,50","12.157,50","","-0,02%"
03/13/2022,"12.246,00","12.170,00","12.312,50","12.047,50","","0,63%"
03/12/2022,"12.169,00","11.932,50","12.240,00","11.882,50","","1,28%"
03/11/2022,"12.015,00","12.190,00","12.222,50","11.777,50","","-1,49%"
03/10/2022,"12.197,00","12.465,00","12.495,00","12.135,00","","-2,53%"
03/09/2022,"12.514,00","12.042,50","12.535,00","11.920,00","","3,92%"
03/08/2022,"12.042,00","11.805,00","12.067,50","11.787,50","","2,36%"
03/07/2022,"11.764,00","11.780,00","11.797,50","11.622,50","","-0,08%"
03/06/2022,"11.773,00","11.857,50","11.997,50","11.747,50","","-0,98%"
03/05/2022,"11.889,00","11.717,50","11.907,50","11.715,00","","1,86%"
03/04/2022,"11.672,00","11.532,50","11.702,50","11.477,50","","1,43%"
03/03/2022,"11.507,00","11.407,50","11.582,50","11.335,00","","0,31%"
03/02/2022,"11.471,00","11.325,00","11.510,00","11.302,50","","1,61%"
03/01/2022,"11.289,00","11.235,00","11.312,50","11.207,50","","0,44%"
02/28/2022,"11.239,00","11.322,50","11.352,50","11.205,00","","-0,65%"
02/27/2022,"11.313,00","11.265,00","11.352,50","10.962,50","","0,46%"
02/26/2022,"11.261,00","11.440,00","11.440,00","11.235,00","","-1,94%"
02/25/2022,"11.484,00","11.340,00","11.495,00","11.232,50","","1,45%"
02/24/2022,"11.320,00","11.372,50","11.452,50","11.262,50","","-0,31%"
02/23/2022,"11.355,00","11.267,50","11.420,00","11.225,00","","1,28%"
02/22/2022,"11.211,00","11.302,50","11.322,50","11.112,50","","-0,69%"
02/21/2022,"11.289,00","11.385,00","11.385,00","11.102,50","","0,28%"
02/20/2022,"11.258,00","11.177,50","11.292,50","10.980,00","","3,47%"
02/19/2022,"10.880,00","11.125,00","11.280,00","10.867,50","","-3,07%"
02/18/2022,"11.225,00","11.500,00","11.500,00","11.225,00","","-0,22%"
02/17/2022,"11.250,00","11.400,00","11.400,00","11.250,00","","-1,27%"
02/16/2022,"11.395,00","11.550,00","11.550,00","11.330,00","","-3,27%"
02/15/2022,"11.780,00","11.940,00","12.120,00","11.780,00","","-1,30%"
02/14/2022,"11.935,00","11.850,00","12.000,00","11.810,00","","-3,13%"
02/13/2022,"12.320,00","12.625,00","12.625,00","12.150,00","","4,14%"
02/12/2022,"11.830,00","11.925,00","11.925,00","11.830,00","","-4,75%"
02/11/2022,"12.420,00","12.500,00","12.500,00","12.400,00","","-2,05%"
02/10/2022,"12.680,00","12.945,00","12.945,00","12.680,00","","0,24%"
02/09/2022,"12.650,00","12.500,00","12.650,00","12.465,00","","-1,48%"
02/08/2022,"12.840,00","12.810,00","12.840,00","12.725,00","","-0,39%"
02/07/2022,"12.890,00","12.850,00","12.890,00","12.815,00","","1,66%"
02/06/2022,"12.680,00","12.805,00","12.805,00","12.630,00","","0,96%"
02/05/2022,"12.560,00","12.675,00","12.750,00","12.560,00","","-1,10%"
02/04/2022,"12.700,00","12.530,00","12.700,00","12.505,00","","3,63%"
02/03/2022,"12.255,00","12.275,00","12.373,00","12.180,00","","-0,97%"
02/02/2022,"12.375,00","12.430,00","12.430,00","12.325,00","","-1,39%"
02/01/2022,"12.550,00","12.355,00","12.550,00","12.355,00","","0,80%"
01/31/2022,"12.450,00","12.625,00","12.625,00","12.450,00","","0,16%"
01/30/2022,"12.430,00","12.500,00","12.500,00","12.405,00","","-0,80%"
01/29/2022,"12.530,00","12.530,00","12.575,00","12.530,00","","-1,10%"
01/28/2022,"12.670,00","12.805,00","12.805,00","12.670,00","","-1,25%"
01/27/2022,"12.830,00","12.810,00","12.830,00","12.725,00","","0,08%"
01/26/2022,"12.820,00","13.000,00","13.000,00","12.820,00","","-2,21%"
01/25/2022,"13.110,00","13.130,00","13.130,00","13.080,00","","0,73%"
01/24/2022,"13.015,00","13.150,00","13.150,00","13.015,00","","-2,03%"
01/23/2022,"13.285,00","13.175,00","13.285,00","13.130,00","","1,41%"
01/22/2022,"13.100,00","13.160,00","13.160,00","13.100,00","","-0,08%"
01/21/2022,"13.110,00","13.150,00","13.175,00","13.110,00","","1,75%"
01/20/2022,"12.885,00","13.025,00","13.025,00","12.885,00","","0,90%"
01/19/2022,"12.770,00","12.855,00","12.855,00","12.770,00","","-2,22%"
01/18/2022,"13.060,00","13.150,00","13.150,00","13.060,00","","-0,76%"
01/17/2022,"13.160,00","13.125,00","13.180,00","13.075,00","","2,57%"
01/16/2022,"12.830,00","13.050,00","13.050,00","12.830,00","","0,83%"
01/15/2022,"12.725,00","12.875,00","12.875,00","12.725,00","","-0,97%"
01/14/2022,"12.850,00","12.804,00","12.850,00","12.650,00","","1,82%"
01/13/2022,"12.620,00","12.700,00","12.700,00","12.565,00","","0,56%"
01/12/2022,"12.550,00","12.750,00","12.750,00","12.550,00","","0,00%"
01/11/2022,"12.550,00","12.830,00","12.830,00","12.550,00","","-0,52%"
01/10/2022,"12.615,00","12.800,00","12.875,00","12.610,00","","-2,59%"
01/09/2022,"12.950,00","13.040,00","13.060,00","12.950,00","","-3,00%"
01/08/2022,"13.350,00","13.380,00","13.380,00","13.350,00","","-2,13%"
01/07/2022,"13.640,00","13.750,00","13.750,00","13.620,00","","-0,18%"
01/06/2022,"13.665,00","13.850,00","13.850,00","13.665,00","","-2,53%"
01/05/2022,"14.020,00","13.950,00","14.125,00","13.920,00","","0,79%"
01/04/2022,"13.910,00","13.950,00","13.950,00","13.910,00","","0,98%"
01/03/2022,"13.775,00","14.400,00","14.400,00","13.775,00","","-3,81%"
01/02/2022,"14.320,00","14.050,00","14.325,00","14.050,00","","3,24%"
01/01/2022,"13.870,00","13.825,00","13.870,00","13.770,00","","-1,60%"
12/31/2021,"14.095,00","14.300,00","14.300,00","14.095,00","","-0,67%"
12/30/2021,"14.190,00","14.180,00","14.225,00","14.130,00","","0,75%"
12/29/2021,"14.085,00","14.240,00","14.240,00","14.085,00","","0,25%"
12/28/2021,"14.050,00","13.950,00","14.075,00","13.900,00","","0,83%"
12/27/2021,"13.935,00","13.950,00","13.950,00","13.900,00","","0,83%"
12/26/2021,"13.820,00","13.900,00","13.900,00","13.775,00","","0,47%"
12/25/2021,"13.755,00","13.790,00","13.850,00","13.755,00","","-3,54%"
12/24/2021,"14.260,00","14.185,00","14.260,00","14.165,00","","1,68%"
12/23/2021,"14.025,00","14.150,00","14.150,00","14.000,00","","-2,03%"
12/22/2021,"14.315,00","14.300,00","14.315,00","14.235,00","","0,74%"
12/21/2021,"14.210,00","14.125,00","14.215,00","14.050,00","","-0,91%"
12/20/2021,"14.340,00","14.375,00","14.375,00","14.250,00","","-0,07%"
12/19/2021,"14.350,00","14.500,00","14.500,00","14.350,00","","-1,20%"
12/18/2021,"14.525,00","14.300,00","14.525,00","14.265,00","","2,51%"
12/17/2021,"14.170,00","14.140,00","14.200,00","14.090,00","","2,16%"
12/16/2021,"13.870,00","13.900,00","13.900,00","13.870,00","","-0,64%"
12/15/2021,"13.960,00","14.200,00","14.200,00","13.960,00","","-1,69%"
12/14/2021,"14.200,00","14.200,00","14.225,00","14.135,00","","0,21%"
12/13/2021,"14.170,00","14.200,00","14.200,00","14.150,00","","0,50%"
12/12/2021,"14.100,00","13.845,00","14.100,00","13.845,00","","1,81%"
12/11/2021,"13.850,00","13.650,00","13.850,00","13.640,00","","3,32%"
12/10/2021,"13.405,00","13.150,00","13.500,00","13.090,00","","0,49%"
12/09/2021,"13.340,00","13.250,00","13.340,00","13.250,00","","-1,00%"
12/08/2021,"13.475,00","13.475,00","13.525,00","13.450,00","","1,51%"
12/07/2021,"13.275,00","13.200,00","13.350,00","13.200,00","","1,18%"
12/06/2021,"13.120,00","13.285,00","13.285,00","13.120,00","","-1,91%"
12/05/2021,"13.375,00","13.650,00","13.650,00","13.375,00","","-2,48%"
12/04/2021,"13.715,00","13.723,50","13.775,00","13.655,00","","0,33%"
12/03/2021,"13.670,00","13.863,00","13.910,00","13.670,00","","-2,43%"
12/02/2021,"14.010,00","14.100,00","14.100,00","14.010,00","","-2,57%"
12/01/2021,"14.380,00","14.500,00","14.500,00","14.375,00","","-1,47%"
11/30/2021,"14.595,00","14.450,00","14.595,00","14.425,00","","0,79%"
11/29/2021,"14.480,00","14.650,00","14.650,00","14.480,00","","-1,06%"
11/28/2021,"14.635,00","14.450,00","14.635,00","14.450,00","","1,04%"
11/27/2021,"14.485,00","14.500,00","14.500,00","14.435,00","","0,87%"
11/26/2021,"14.360,00","14.375,00","14.400,00","14.360,00","","-2,25%"
11/25/2021,"14.690,00","14.480,00","14.690,00","14.480,00","","-1,04%"
11/24/2021,"14.845,00","14.785,00","14.850,00","14.725,00","","-0,87%"
11/23/2021,"14.975,00","15.075,00","15.075,00","14.975,00","","-1,16%"
11/22/2021,"15.150,00","15.410,00","15.410,00","15.089,00","","-1,50%"
11/21/2021,"15.380,00","15.525,00","15.525,00","15.380,00","","-1,79%"
11/20/2021,"15.660,00","15.500,00","15.660,00","15.475,00","","0,61%"
11/19/2021,"15.565,00","15.770,00","15.770,00","15.565,00","","-3,86%"
11/18/2021,"16.190,00","16.125,00","16.190,00","16.025,00","","-0,06%"
11/17/2021,"16.200,00","16.305,00","16.305,00","16.200,00","","-0,28%"
11/16/2021,"16.245,00","16.350,00","16.350,00","16.150,00","","-0,21%"
11/15/2021,"16.280,00","16.300,00","16.300,00","16.200,00","","-0,61%"
11/14/2021,"16.380,00","16.600,00","16.600,00","16.375,00","","-2,35%"
11/13/2021,"16.775,00","16.800,00","16.800,00","16.710,00","","0,78%"
11/12/2021,"16.645,00","16.800,00","16.800,00","16.550,00","","-0,80%"
11/11/2021,"16.780,00","16.875,00","16.875,00","16.780,00","","-0,30%"
11/10/2021,"16.830,00","16.700,00","16.830,00","16.680,00","","1,14%"
11/09/2021,"16.640,00","16.750,00","16.750,00","16.640,00","","-0,80%"
11/08/2021,"16.775,00","16.885,00","16.885,00","16.775,00","","-0,50%"
11/07/2021,"16.860,00","16.975,00","16.975,00","16.850,00","","1,63%"
11/06/2021,"16.590,00","16.450,00","16.590,00","16.400,00","","0,55%"
11/05/2021,"16.500,00","16.050,00","16.525,00","16.040,00","","2,48%"
11/04/2021,"16.100,00","16.200,00","16.200,00","16.100,00","","-0,80%"
11/03/2021,"16.230,00","16.375,00","16.375,00","16.225,00","","-0,25%"
11/02/2021,"16.270,00","16.250,00","16.325,00","16.250,00","","-1,09%"
11/01/2021,"16.450,00","16.950,00","16.950,00","16.450,00","","-3,21%"
10/31/2021,"16.995,00","16.940,00","16.995,00","16.877,00","","2,69%"
10/30/2021,"16.550,00","17.230,00","17.300,00","16.550,00","","-5,70%"
10/29/2021,"17.550,00","17.700,00","17.700,00","17.550,00","","-0,43%"
10/28/2021,"17.625,00","17.660,00","17.660,00","17.590,00","","1,53%"
10/27/2021,"17.360,00","17.600,00","17.600,00","17.360,00","","-1,20%"
10/26/2021,"17.570,00","17.525,00","17.570,00","17.425,00","","-0,87%"
10/25/2021,"17.725,00","17.800,00","17.800,00","17.725,00","","-0,37%"
10/24/2021,"17.790,00","17.825,00","17.825,00","17.750,00","","0,94%"
10/23/2021,"17.625,00","17.630,00","17.630,00","17.610,00","","0,80%"
10/22/2021,"17.485,00","17.525,00","17.525,00","17.485,00","","1,54%"
10/21/2021,"17.220,00","17.250,00","17.325,00","17.195,00","","1,00%"
10/20/2021,"17.050,00","17.425,00","17.575,00","17.050,00","","-0,90%"
10/19/2021,"17.205,00","17.330,00","17.330,00","17.205,00","","-0,03%"
10/18/2021,"17.210,00","17.330,00","17.330,00","17.210,00","","-0,66%"
10/17/2021,"17.325,00","17.075,00","17.325,00","17.030,00","","0,84%"
10/16/2021,"17.180,00","17.095,00","17.205,00","17.095,00","","-1,66%"
10/15/2021,"17.470,00","17.580,00","17.600,00","17.425,00","","0,46%"
10/14/2021,"17.390,00","17.275,00","17.895,00","17.257,50","","0,53%"
10/13/2021,"17.297,50","17.192,50","17.347,50","17.065,00","","0,61%"
10/12/2021,"17.192,50","17.032,50","17.265,00","16.997,50","","0,84%"
10/11/2021,"17.050,00","17.282,50","17.297,50","16.797,50","","-1,36%"
10/10/2021,"17.285,00","17.755,00","17.895,00","17.110,00","","-2,62%"
10/09/2021,"17.750,00","18.000,00","18.147,50","17.507,50","","-1,36%"
10/08/2021,"17.995,00","17.872,50","18.397,50","17.822,50","","0,77%"
10/07/2021,"17.857,50","17.985,00","18.195,00","17.787,50","","-0,54%"
10/06/2021,"17.955,00","18.295,00","18.332,50","17.877,50","","-0,81%"
10/05/2021,"18.102,50","17.842,50","18.230,00","17.410,00","","0,89%"
10/04/2021,"17.942,50","17.482,50","17.947,50","17.360,00","","2,63%"
10/03/2021,"17.482,50","18.070,00","18.105,00","17.400,00","","-3,36%"
10/02/2021,"18.090,00","17.880,00","18.195,00","17.827,50","","1,10%"
10/01/2021,"17.892,50","18.025,00","18.717,50","17.790,00","","-0,43%"
09/30/2021,"17.970,00","17.880,00","18.842,50","17.812,50","","0,39%"
09/29/2021,"17.900,00","16.387,50","18.127,50","16.382,50","","9,08%"
09/28/2021,"16.410,00","16.245,00","16.600,00","16.010,00","","0,80%"
09/27/2021,"16.280,00","15.635,00","16.345,00","15.632,50","","4,03%"
09/26/2021,"15.650,00","15.747,50","15.905,00","15.630,00","","-0,10%"
09/25/2021,"15.665,00","15.657,50","15.862,50","15.382,50","","0,16%"
09/24/2021,"15.640,00","15.777,50","15.820,00","15.535,00","","-0,82%"
09/23/2021,"15.770,00","15.885,00","15.995,00","15.695,00","","-0,27%"
09/22/2021,"15.812,50","15.922,50","16.157,50","15.630,00","","-0,78%"
09/21/2021,"15.937,50","16.170,00","16.197,50","15.792,50","","-1,45%"
09/20/2021,"16.172,50","16.197,50","16.392,50","16.007,50","","-0,11%"
09/19/2021,"16.190,00","15.867,50","16.387,50","15.762,50","","1,86%"
09/18/2021,"15.895,00","15.780,00","16.080,00","15.492,50","","0,81%"
09/17/2021,"15.767,50","15.652,50","15.950,00","15.625,00","","0,51%"
09/16/2021,"15.687,50","15.642,50","16.142,50","15.022,50","","0,26%"
09/15/2021,"15.647,50","15.800,00","15.907,50","15.502,50","","-1,11%"
09/14/2021,"15.822,50","15.430,00","16.687,50","15.310,00","","2,34%"
09/13/2021,"15.460,00","14.947,50","15.522,50","14.612,50","","3,32%"
09/12/2021,"14.962,50","14.835,00","15.087,50","14.797,50","","0,71%"
09/11/2021,"14.857,50","14.435,00","14.962,50","14.285,00","","2,59%"
09/10/2021,"14.482,50","14.377,50","14.597,50","14.177,50","","0,07%"
09/09/2021,"14.472,50","14.487,50","14.767,50","14.222,50","","-0,55%"
09/08/2021,"14.552,50","14.310,00","14.557,50","14.260,00","","1,71%"
09/07/2021,"14.307,50","14.355,00","14.482,50","14.215,00","","-0,26%"
09/06/2021,"14.345,00","14.127,50","14.375,00","13.887,50","","1,47%"
09/05/2021,"14.137,50","14.015,00","14.237,50","13.960,00","","0,84%"
09/04/2021,"14.020,00","14.522,50","14.545,00","13.942,50","","-3,51%"
09/03/2021,"14.530,00","14.210,00","14.547,50","14.142,50","","2,18%"
09/02/2021,"14.220,00","14.235,00","14.425,00","14.077,50","","-0,12%"
09/01/2021,"14.237,50","14.650,00","14.690,00","14.152,50","","-2,78%"
08/31/2021,"14.645,00","14.902,50","15.102,50","14.367,50","","-2,01%"
08/30/2021,"14.945,00","14.342,50","15.117,50","14.305,00","","3,98%"
08/29/2021,"14.372,50","13.950,00","14.460,00","13.902,50","","3,03%"
08/28/2021,"13.950,00","13.645,00","14.197,50","13.572,50","","2,09%"
08/27/2021,"13.665,00","13.550,00","13.722,50","13.372,50","","0,70%"
08/26/2021,"13.570,00","13.105,00","13.587,50","13.057,50","","3,49%"
08/25/2021,"13.112,50","13.025,00","13.187,50","13.002,50","","0,75%"
08/24/2021,"13.015,00","12.745,00","13.032,50","12.707,50","","2,06%"
08/23/2021,"12.752,50","12.710,00","12.772,50","12.555,00","","0,31%"
08/22/2021,"12.712,50","12.445,00","12.725,00","12.435,00","","2,01%"
08/21/2021,"12.462,50","12.385,00","12.477,50","12.240,00","","0,71%"
08/20/2021,"12.375,00","12.362,50","12.422,50","12.255,00","","0,08%"
08/19/2021,"12.365,00","12.112,50","12.387,50","12.072,50","","2,17%"
08/18/2021,"12.102,50","12.302,50","12.335,00","12.020,00","","-1,75%"
08/17/2021,"12.317,50","12.777,50","12.847,50","12.262,50","","-2,82%"
08/16/2021,"12.675,00","12.727,50","12.775,00","12.587,50","","-0,45%"
08/15/2021,"12.732,50","12.495,00","12.765,00","12.432,50","","1,80%"
08/14/2021,"12.507,50","12.305,00","12.507,50","12.232,50","","1,69%"
08/13/2021,"12.300,00","12.185,00","12.372,50","12.150,00","","0,90%"
08/12/2021,"12.190,00","12.132,50","12.230,00","12.012,50","","0,64%"
08/11/2021,"12.112,50","12.312,50","12.330,00","12.047,50","","-1,70%"
08/10/2021,"12.322,50","12.155,00","12.387,50","12.107,50","","1,59%"
08/09/2021,"12.130,00","11.957,50","12.177,50","11.855,00","","1,49%"
08/08/2021,"11.952,50","11.747,50","12.047,50","11.730,00","","1,59%"
08/07/2021,"11.765,00","11.922,50","12.005,00","11.732,50","","-1,28%"
08/06/2021,"11.917,50","11.855,00","12.067,50","11.840,00","","0,57%"
08/05/2021,"11.850,00","11.855,00","12.040,00","11.787,50","","0,02%"
08/04/2021,"11.847,50","11.905,00","11.975,00","11.792,50","","-0,46%"
08/03/2021,"11.902,50","11.627,50","12.022,50","11.627,50","","2,37%"
08/02/2021,"11.627,50","11.632,50","11.812,50","11.612,50","","0,02%"
08/01/2021,"11.625,00","11.667,50","11.760,00","11.607,50","","-0,36%"
07/31/2021,"11.667,50","11.720,00","11.852,50","11.622,50","","-0,41%"
07/30/2021,"11.715,00","11.810,00","11.857,50","11.707,50","","-0,74%"
07/29/2021,"11.802,50","11.882,50","11.922,50","11.792,50","","-0,67%"
07/28/2021,"11.882,50","11.982,50","12.035,00","11.867,50","","-0,90%"
07/27/2021,"11.990,00","12.097,50","12.177,50","11.982,50","","-0,89%"
07/26/2021,"12.097,50","12.050,00","12.182,50","12.002,50","","0,46%"
07/25/2021,"12.042,50","12.135,00","12.162,50","12.037,50","","-0,82%"
07/24/2021,"12.142,50","12.442,50","12.462,50","12.077,50","","-2,04%"
07/23/2021,"12.395,00","11.892,50","12.492,50","11.885,00","","4,25%"
07/22/2021,"11.890,00","11.962,50","11.967,50","11.817,50","","-0,56%"
07/21/2021,"11.957,50","12.067,50","12.090,00","11.915,00","","-1,08%"
07/20/2021,"12.087,50","12.002,50","12.142,50","11.925,00","","0,83%"
07/19/2021,"11.987,50","12.012,50","12.062,50","11.875,00","","-0,15%"
07/18/2021,"12.005,00","12.140,00","12.160,00","12.002,50","","-1,03%"
07/17/2021,"12.130,00","12.172,50","12.222,50","12.057,50","","-0,12%"
07/16/2021,"12.145,00","12.275,00","12.280,00","11.825,00","","1,80%"
07/15/2021,"11.930,00","11.777,50","11.955,00","11.737,50","","1,36%"
07/14/2021,"11.770,00","11.907,50","11.932,50","11.727,50","","-1,61%"
07/13/2021,"11.962,50","11.825,00","12.072,50","11.820,00","","1,21%"
07/12/2021,"11.820,00","11.932,50","11.962,50","11.732,50","","-0,98%"
07/11/2021,"11.937,50","12.030,00","12.142,50","11.937,50","","-0,73%"
07/10/2021,"12.025,00","12.102,50","12.160,00","11.992,50","","-1,45%"
07/09/2021,"12.202,50","12.170,00","12.387,50","12.117,50","","0,33%"
07/08/2021,"12.162,50","12.165,00","12.217,50","12.112,50","","-0,04%"
07/07/2021,"12.167,50","12.240,00","12.317,50","12.152,50","","-0,55%"
07/06/2021,"12.235,00","12.422,50","12.482,50","12.190,00","","-1,49%"
07/05/2021,"12.420,00","12.425,00","12.512,50","12.382,50","","-0,10%"
07/04/2021,"12.432,50","12.340,00","12.507,50","12.317,50","","0,85%"
07/03/2021,"12.327,50","12.427,50","12.477,50","12.312,50","","-0,82%"
07/02/2021,"12.430,00","12.415,00","12.502,50","12.382,50","","0,16%"
07/01/2021,"12.410,00","12.655,00","12.665,00","12.382,50","","-1,96%"
06/30/2021,"12.657,50","12.892,50","12.925,00","12.627,50","","-1,80%"
06/29/2021,"12.890,00","12.945,00","13.155,00","12.847,50","","-0,27%"
06/28/2021,"12.925,00","12.995,00","13.160,00","12.902,50","","-0,54%"
06/27/2021,"12.995,00","12.965,00","13.067,50","12.857,50","","-0,13%"
06/26/2021,"13.012,50","12.970,00","13.060,00","12.882,50","","0,37%"
06/25/2021,"12.965,00","13.195,00","13.212,50","12.872,50","","-1,67%"
06/24/2021,"13.185,00","13.240,00","13.302,50","13.150,00","","-0,36%"
06/23/2021,"13.232,50","13.215,00","13.315,00","13.092,50","","0,25%"
06/22/2021,"13.200,00","13.082,50","13.322,50","13.082,50","","1,09%"
06/21/2021,"13.057,50","13.167,50","13.277,50","13.042,50","","-0,82%"
06/20/2021,"13.165,00","13.365,00","13.395,00","12.997,50","","-1,46%"
06/19/2021,"13.360,00","13.145,00","13.427,50","13.145,00","","1,50%"
06/18/2021,"13.162,50","13.122,50","13.195,00","12.952,50","","0,44%"
06/17/2021,"13.105,00","13.015,00","13.330,00","13.015,00","","0,85%"
06/16/2021,"12.995,00","12.880,00","13.167,50","12.877,50","","0,93%"
06/15/2021,"12.875,00","13.045,00","13.047,50","12.827,50","","-1,36%"
06/14/2021,"13.052,50","13.112,50","13.147,50","12.880,00","","-0,38%"
06/13/2021,"13.102,50","12.962,50","13.152,50","12.845,00","","1,12%"
06/12/2021,"12.957,50","12.967,50","12.992,50","12.842,50","","-0,13%"
06/11/2021,"12.975,00","13.032,50","13.072,50","12.907,50","","-0,40%"
06/10/2021,"13.027,50","13.342,50","13.370,00","12.905,00","","-2,34%"
06/09/2021,"13.340,00","13.150,00","13.365,00","13.107,50","","1,43%"
06/08/2021,"13.152,50","13.015,00","13.292,50","13.015,00","","1,08%"
06/07/2021,"13.012,50","12.875,00","13.062,50","12.855,00","","0,62%"
06/06/2021,"12.932,50","12.902,50","13.042,50","12.842,50","","0,19%"
06/05/2021,"12.907,50","13.185,00","13.195,00","12.812,50","","-2,12%"
06/04/2021,"13.187,50","13.132,50","13.232,50","12.915,00","","0,50%"
06/03/2021,"13.122,50","12.927,50","13.257,50","12.922,50","","1,63%"
06/02/2021,"12.912,50","13.077,50","13.175,00","12.882,50","","-1,30%"
06/01/2021,"13.082,50","13.202,50","13.232,50","13.060,00","","-1,04%"
05/31/2021,"13.220,00","13.640,00","13.672,50","13.115,00","","-3,06%"
05/30/2021,"13.637,50","13.642,50","13.757,50","13.565,00","","-0,07%"
05/29/2021,"13.647,50","13.292,50","13.722,50","13.265,00","","2,77%"
05/28/2021,"13.280,00","13.217,50","13.467,50","13.172,50","","0,82%"
05/27/2021,"13.172,50","13.057,50","13.382,50","12.997,50","","0,86%"
05/26/2021,"13.060,00","13.062,50","13.157,50","13.022,50","","-0,02%"
05/25/2021,"13.062,50","12.942,50","13.112,50","12.847,50","","0,97%"
05/24/2021,"12.937,50","12.962,50","12.997,50","12.847,50","","-0,23%"
05/23/2021,"12.967,50","13.045,00","13.172,50","12.877,50","","-0,15%"
05/22/2021,"12.987,50","12.845,00","13.102,50","12.780,00","","1,07%"
05/21/2021,"12.850,00","12.897,50","12.942,50","12.777,50","","-0,52%"
05/20/2021,"12.917,50","12.660,00","12.952,50","12.625,00","","2,01%"
05/19/2021,"12.662,50","12.447,50","12.677,50","12.385,00","","1,58%"
05/18/2021,"12.465,00","12.405,00","12.527,50","12.292,50","","0,42%"
05/17/2021,"12.412,50","12.197,50","12.422,50","12.082,50","","1,78%"
05/16/2021,"12.195,00","12.402,50","12.472,50","12.147,50","","-1,61%"
05/15/2021,"12.395,00","12.392,50","12.457,50","12.302,50","","0,08%"
05/14/2021,"12.385,00","12.462,50","12.547,50","12.212,50","","-0,64%"
05/13/2021,"12.465,00","12.575,00","12.730,00","12.412,50","","-0,86%"
05/12/2021,"12.572,50","12.905,00","12.905,00","12.482,50","","-2,56%"
05/11/2021,"12.902,50","12.892,50","13.037,50","12.857,50","","-0,08%"
05/10/2021,"12.912,50","13.090,00","13.347,50","12.857,50","","-1,15%"
05/09/2021,"13.062,50","13.210,00","13.265,00","12.870,00","","-1,25%"
05/08/2021,"13.227,50","12.570,00","13.255,00","12.570,00","","4,36%"
05/07/2021,"12.675,00","12.465,00","12.697,50","12.310,00","","1,66%"
05/06/2021,"12.467,50","12.372,50","12.517,50","12.322,50","","0,95%"
05/05/2021,"12.350,00","12.172,50","12.447,50","12.142,50","","1,67%"
05/04/2021,"12.147,50","11.840,00","12.197,50","11.752,50","","2,53%"
05/03/2021,"11.847,50","11.965,00","12.015,00","11.822,50","","-0,82%"
05/02/2021,"11.945,00","11.755,00","11.980,00","11.745,00","","1,66%"
05/01/2021,"11.750,00","11.700,00","11.792,50","11.595,00","","0,49%"
04/30/2021,"11.692,50","11.590,00","11.727,50","11.582,50","","0,88%"
04/29/2021,"11.590,00","11.807,50","11.837,50","11.555,00","","-1,90%"
04/28/2021,"11.815,00","11.800,00","11.882,50","11.727,50","","0,06%"
04/27/2021,"11.807,50","11.615,00","11.857,50","11.592,50","","1,94%"
04/26/2021,"11.582,50","11.605,00","11.662,50","11.467,50","","-0,22%"
04/25/2021,"11.607,50","11.612,50","11.767,50","11.582,50","","0,00%"
04/24/2021,"11.607,50","11.410,00","11.670,00","11.390,00","","1,84%"
